field,class,area_acres,area_pct,polygon_count
hydgrpdcd,C,127846.20606590513,23.85370697963814,9901
hydgrpdcd,B,113179.28352228251,21.117134003289753,12132
hydgrpdcd,D,91870.91295802825,17.141391247253285,7303
hydgrpdcd,B/D,78061.43967927151,14.56480224026472,7732
hydgrpdcd,No rating,55752.594381512565,10.40238964186117,2935
hydgrpdcd,A/D,29877.3653929172,5.574556659419647,1197
hydgrpdcd,C/D,29731.401822984895,5.547322591753437,2797
hydgrpdcd,A,9640.285304035155,1.7986966365198431,1051
drclassdcd,Well drained,207868.89416299772,38.784441432618394,19223
drclassdcd,Moderately well drained,65989.60076264285,12.312423252387607,5504
drclassdcd,Somewhat poorly drained,60187.15005448009,11.229794653421147,6024
drclassdcd,No rating,54076.678507054,10.08969513631401,2370
drclassdcd,Poorly drained,50217.9288311188,9.369724736644253,4090
drclassdcd,Very poorly drained,48794.09989875983,9.104064931893273,2513
drclassdcd,Somewhat excessively drained,45747.93218307177,8.535707103086065,4994
drclassdcd,Excessively drained,3077.2047268121896,0.574148753635255,330
flodfreqdcd,No rating,512184.4398694917,95.56402121060037,41996
flodfreqdcd,Frequent,17855.045315662483,3.3314169592832186,2052
flodfreqdcd,Occasional,5920.00394178306,1.1045618301164102,1000
