tier,mechanism,outcome,model,key,pred_WP,n,coef,p_asym,p_wcb,ci_lo,ci_hi
canonical,attenuation-peak,log_Qp,M1_basic,W,-,5907,-0.3797,0.1091,0.1582,-0.473,-0.2864
canonical,attenuation-peak,log_Qp,M2_peakshave,WP,-,5907,-0.2021,0.0,0.0176,-0.2741,-0.1301
canonical,attenuation-peak,log_Qp,M3_saturation,S,-,5907,-0.3289,0.001,0.002,-0.4477,-0.21
canonical,attenuation-peak,log_Qp,M4_nonlinsat,WS,-,5907,-0.0486,0.2637,0.7637,-0.3092,0.2119
canonical,attenuation-shape,log_peakedness,M1_basic,W,-,5907,-0.1307,0.5642,0.9004,-0.4256,0.1643
canonical,attenuation-shape,log_peakedness,M2_peakshave,WP,-,5907,-0.0879,0.0,0.2207,-0.156,-0.0197
canonical,attenuation-shape,log_peakedness,M3_saturation,S,-,5907,0.2863,0.8022,0.3652,0.0723,0.5004
canonical,attenuation-shape,log_peakedness,M4_nonlinsat,WS,-,5907,-1.5443,0.5535,0.4551,-1.8947,-1.1939
canonical,delay-timing,log1p_ttp,M1_basic,W,+,5907,0.4399,0.0052,0.6426,0.1801,0.6996
canonical,delay-timing,log1p_ttp,M2_peakshave,WP,+,5907,0.0199,0.2629,0.4805,-0.018,0.0578
canonical,delay-timing,log1p_ttp,M3_saturation,S,+,5907,0.1332,0.4403,0.5801,-0.1196,0.3861
canonical,delay-timing,log1p_ttp,M4_nonlinsat,WS,+,5907,1.9445,0.3593,0.3105,1.7114,2.1776
canonical,storage-volume,runoff_coeff_w,M1_basic,W,-,5907,0.0045,0.7622,0.5664,-0.0044,0.0134
canonical,storage-volume,runoff_coeff_w,M2_peakshave,WP,-,5907,-0.0212,0.0,0.0273,-0.027,-0.0154
canonical,storage-volume,runoff_coeff_w,M3_saturation,S,-,5907,0.0148,0.9601,0.2188,0.0061,0.0236
canonical,storage-volume,runoff_coeff_w,M4_nonlinsat,WS,-,5907,0.0954,0.5833,0.0059,0.0761,0.1147
canonical,cumulative-severity,log_quick_depth_mm,M1_basic,W,-,5907,-0.249,0.6164,0.4414,-0.5991,0.101
canonical,cumulative-severity,log_quick_depth_mm,M2_peakshave,WP,-,5907,-0.1142,0.0,0.1504,-0.2252,-0.0032
canonical,cumulative-severity,log_quick_depth_mm,M3_saturation,S,-,5907,-0.6152,0.0022,0.2188,-0.7955,-0.4348
canonical,cumulative-severity,log_quick_depth_mm,M4_nonlinsat,WS,-,5907,1.4957,0.023,0.377,1.2197,1.7718
canonical,extreme-severity,log1p_q99_excess_depth,M1_basic,W,-,5907,0.0001,0.6436,0.5996,-0.0001,0.0002
canonical,extreme-severity,log1p_q99_excess_depth,M2_peakshave,WP,-,5907,-0.0005,0.0,0.0293,-0.0007,-0.0003
canonical,extreme-severity,log1p_q99_excess_depth,M3_saturation,S,-,5907,0.0002,0.8468,0.1426,0.0001,0.0002
canonical,extreme-severity,log1p_q99_excess_depth,M4_nonlinsat,WS,-,5907,0.0006,0.5253,0.1641,0.0002,0.0011
robust,shape,rb_flashiness,M1_basic,W,-,5907,0.0005,0.3393,0.9316,-0.0059,0.007
robust,shape,rb_flashiness,M2_peakshave,WP,-,5907,-0.0045,0.0,0.0449,-0.0066,-0.0023
robust,shape,rb_flashiness,M3_saturation,S,-,5907,0.0055,0.4921,0.252,0.0016,0.0094
robust,shape,rb_flashiness,M4_nonlinsat,WS,-,5907,-0.0063,0.0074,0.7422,-0.0291,0.0164
robust,shape/delay,log_hydro_width,M1_basic,W,+,5907,0.5196,0.5698,0.7246,0.1782,0.861
robust,shape/delay,log_hydro_width,M2_peakshave,WP,+,5907,0.0925,0.0,0.0625,0.0428,0.1422
robust,shape/delay,log_hydro_width,M3_saturation,S,+,5907,0.118,0.3205,0.6641,-0.2215,0.4575
robust,shape/delay,log_hydro_width,M4_nonlinsat,WS,+,5907,1.947,0.1891,0.375,1.3538,2.5402
robust,rel-peak,log_peak_ratio,M1_basic,W,-,5907,-0.2324,0.7379,0.4102,-0.3368,-0.1281
robust,rel-peak,log_peak_ratio,M2_peakshave,WP,-,5907,-0.2762,0.0,0.0312,-0.3488,-0.2036
robust,rel-peak,log_peak_ratio,M3_saturation,S,-,5907,0.142,0.457,0.2051,0.0642,0.2197
robust,rel-peak,log_peak_ratio,M4_nonlinsat,WS,-,5907,0.7488,0.0002,0.0391,0.4069,1.0906
robust,release,recession_k_per_hr,M1_basic,W,-,5906,-0.0015,0.8783,0.5586,-0.0043,0.0013
robust,release,recession_k_per_hr,M2_peakshave,WP,-,5906,0.0002,0.5103,0.5078,-0.0003,0.0006
robust,release,recession_k_per_hr,M3_saturation,S,-,5906,0.0048,0.5558,0.2031,0.0027,0.0069
robust,release,recession_k_per_hr,M4_nonlinsat,WS,-,5906,0.0213,0.1415,0.0215,0.0177,0.0249
