term,log_Qp,log_Qp_se,log_peakedness,log_peakedness_se,log1p_ttp,log1p_ttp_se,runoff_coeff_w,runoff_coeff_w_se,log_quick_depth_mm,log_quick_depth_mm_se,log1p_q99_excess_depth,log1p_q99_excess_depth_se
Intercept,4.6511***,0.0432,-9.9326***,0.0702,1.8417***,0.0802,0.0929***,0.0028,-0.4727***,0.0714,0.0006***,0.0
P,1.1853***,0.0745,-0.5508***,0.0638,0.1617*,0.0844,0.0101**,0.0043,1.7361***,0.0498,0.0007***,0.0001
W,-0.1289***,0.0435,-0.1431,0.1965,0.3866*,0.206,0.0169*,0.0089,0.0142,0.1952,0.0004***,0.0001
WP,-0.2018***,0.0415,-0.0881**,0.0385,0.0198,0.024,-0.0212***,0.0036,-0.1137*,0.0622,-0.0005***,0.0001
S,-0.3289***,0.0789,0.2863**,0.1176,0.1332,0.1419,0.0148***,0.005,-0.6152***,0.1009,0.0002***,0.0
z_log_DA,1.3022***,0.0134,-0.0524,0.0997,0.0422,0.1174,0.0043,0.0046,0.0057,0.0939,-0.0001*,0.0
z_imp_pct,0.7592***,0.1146,0.4092,0.4503,-0.9705*,0.507,-0.0319,0.0222,0.3500,0.4224,-0.0005**,0.0002
z_ksat_log,0.0281,0.0651,0.3784**,0.1772,-0.2520,0.2039,-0.0291***,0.0089,-0.3503**,0.1717,-0.0002*,0.0001
z_chan_slope,0.2159,0.1472,-0.4096,0.5575,1.0290*,0.6246,0.0712***,0.027,0.6255,0.5214,0.0011***,0.0003
z_api_30_mm,0.2642***,0.0436,0.0396*,0.0236,-0.0722***,0.0259,0.0203***,0.0028,0.2247***,0.0577,0.0004***,0.0
winter_flag,0.3567,0.2307,-0.3096***,0.0464,0.3507***,0.0544,0.1038***,0.012,0.6663***,0.2206,0.0000,0.0001
